"date","attendance","schedule_team","stadium_capacity","percent_capacity"
2024-04-05,47812,"new-york-yankees",46537,1.02739755463395
2024-04-06,42250,"new-york-yankees",46537,0.907879751595505
2024-04-07,40569,"new-york-yankees",46537,0.871757956034983
2024-04-08,31071,"new-york-yankees",46537,0.667662290220685
2024-04-09,37680,"new-york-yankees",46537,0.80967832047618
2024-04-10,36295,"new-york-yankees",46537,0.779917055246363
2024-04-19,36055,"new-york-yankees",46537,0.774759868491738
2024-04-20,47629,"new-york-yankees",46537,1.02346519973355
2024-04-21,40022,"new-york-yankees",46537,0.860003867890066
2024-04-22,30366,"new-york-yankees",46537,0.652513054128973
2024-04-23,30060,"new-york-yankees",46537,0.645937641016825
2024-04-24,31179,"new-york-yankees",46537,0.669983024260266
2024-04-25,40141,"new-york-yankees",46537,0.862560972989234
2024-05-03,37386,"new-york-yankees",46537,0.803360766701764
2024-05-04,45017,"new-york-yankees",46537,0.967337817220706
2024-05-05,35119,"new-york-yankees",46537,0.754646840148699
2024-05-07,37126,"new-york-yankees",46537,0.797773814384253
2024-05-08,37660,"new-york-yankees",46537,0.809248554913295
2024-05-09,38095,"new-york-yankees",46537,0.818595955906053
2024-05-17,46025,"new-york-yankees",46537,0.988998001590133
2024-05-18,43194,"new-york-yankees",46537,0.928164686163698
2024-05-19,41041,"new-york-yankees",46537,0.881900423319079
2024-05-20,37590,"new-york-yankees",46537,0.807744375443196
2024-05-21,37257,"new-york-yankees",46537,0.800588778821153
2024-05-22,40224,"new-york-yankees",46537,0.864344500075209
2024-05-23,43121,"new-york-yankees",46537,0.926596041859166
2024-06-04,37139,"new-york-yankees",46537,0.798053162000129
2024-06-05,43202,"new-york-yankees",46537,0.928336592388852
2024-06-06,41380,"new-york-yankees",46537,0.889184949609988
2024-06-07,48048,"new-york-yankees",46537,1.032468788276
2024-06-08,48374,"new-york-yankees",46537,1.03947396695103
2024-06-09,48023,"new-york-yankees",46537,1.03193158132239
2024-06-18,47429,"new-york-yankees",46537,1.01916754410469
2024-06-19,47155,"new-york-yankees",46537,1.01327975589316
2024-06-20,45456,"new-york-yankees",46537,0.976771171326042
2024-06-21,45226,"new-york-yankees",46537,0.971828867352859
2024-06-22,45056,"new-york-yankees",46537,0.968175860068333
2024-06-23,46683,"new-york-yankees",46537,1.00313728860906
2024-07-02,41219,"new-york-yankees",46537,0.88572533682876
2024-07-03,47646,"new-york-yankees",46537,1.023830500462
2024-07-04,43154,"new-york-yankees",46537,0.927305155037927
2024-07-05,47158,"new-york-yankees",46537,1.01334422072759
2024-07-06,45504,"new-york-yankees",46537,0.977802608676967
2024-07-07,45250,"new-york-yankees",46537,0.972344586028322
2024-07-19,47036,"new-york-yankees",46537,1.01072265079399
2024-07-20,43173,"new-york-yankees",46537,0.927713432322668
2024-07-21,45178,"new-york-yankees",46537,0.970797430001934
2024-07-22,40824,"new-york-yankees",46537,0.877237466961772
2024-07-23,47453,"new-york-yankees",46537,1.01968326278015
2024-07-24,48760,"new-york-yankees",46537,1.04776844231472
2024-08-02,44883,"new-york-yankees",46537,0.964458387949374
2024-08-03,40218,"new-york-yankees",46537,0.864215570406343
2024-08-04,44237,"new-york-yankees",46537,0.950576960268174
2024-08-07,40744,"new-york-yankees",46537,0.875518404710231
2024-08-08,40681,"new-york-yankees",46537,0.874164643187141
2024-08-10,41996,"new-york-yankees",46537,0.902421728946859
2024-08-11,45318,"new-york-yankees",46537,0.973805788942132
2024-08-20,41426,"new-york-yankees",46537,0.890173410404624
2024-08-21,41263,"new-york-yankees",46537,0.886670821067108
2024-08-22,38105,"new-york-yankees",46537,0.818810838687496
2024-08-23,38910,"new-york-yankees",46537,0.836108902593635
2024-08-24,40438,"new-york-yankees",46537,0.868942991598083
2024-08-25,41324,"new-york-yankees",46537,0.887981606033909
2024-08-30,47103,"new-york-yankees",46537,1.01216236542966
2024-08-31,41454,"new-york-yankees",46537,0.890775082192664
2024-09-01,42768,"new-york-yankees",46537,0.919010679674238
2024-09-09,35308,"new-york-yankees",46537,0.758708124717966
2024-09-10,34485,"new-york-yankees",46537,0.74102327180523
2024-09-11,40080,"new-york-yankees",46537,0.861250188022434
2024-09-12,40229,"new-york-yankees",46537,0.86445194146593
2024-09-13,45292,"new-york-yankees",46537,0.973247093710381
2024-09-14,46378,"new-york-yankees",46537,0.996583363775061
2024-09-15,45552,"new-york-yankees",46537,0.978834046027892
2024-09-24,41149,"new-york-yankees",46537,0.884221157358661
2024-09-25,41010,"new-york-yankees",46537,0.881234286696607
2024-09-26,42022,"new-york-yankees",46537,0.902980424178611
2024-09-27,41778,"new-york-yankees",46537,0.897737284311408
2024-09-28,46069,"new-york-yankees",46537,0.989943485828481
2024-09-29,44108,"new-york-yankees",46537,0.947804972387563
2024-03-28,45029,"baltimore-orioles",44970,1.00131198576829
2024-03-30,28420,"baltimore-orioles",44970,0.631976873471203
2024-03-31,20576,"baltimore-orioles",44970,0.457549477429397
2024-04-01,12666,"baltimore-orioles",44970,0.281654436290861
2024-04-02,9404,"baltimore-orioles",44970,0.209117189237269
2024-04-03,11488,"baltimore-orioles",44970,0.255459195018901
2024-04-12,32205,"baltimore-orioles",44970,0.716144096064043
