"event_id","season_type","retrieve_date","date","time","day_of_week","home_team","away_team","new_listings","avg_price","lowest_price","highest_price","ticket_count"
6100043,"Regular Season","2024-03-26",2024-03-31,"1:10 PM","Sun","arizona-diamondbacks","colorado-rockies",349,83,21,473,1273
6100044,"Regular Season","2024-03-26",2024-04-01,"6:40 PM","Mon","arizona-diamondbacks","new-york-yankees",1482,162,50,1759,7529
6100046,"Regular Season","2024-03-26",2024-04-02,"6:40 PM","Tue","arizona-diamondbacks","new-york-yankees",1334,154,48,1408,7001
6100048,"Regular Season","2024-03-26",2024-04-03,"12:40 PM","Wed","arizona-diamondbacks","new-york-yankees",1527,140,34,1174,8079
6100051,"Regular Season","2024-03-26",2024-03-28,"7:10 PM","Thu","arizona-diamondbacks","colorado-rockies",343,129,45,696,2107
6100053,"Regular Season","2024-03-26",2024-03-29,"6:40 PM","Fri","arizona-diamondbacks","colorado-rockies",360,92,40,638,2162
6100058,"Regular Season","2024-03-26",2024-03-30,"5:10 PM","Sat","arizona-diamondbacks","colorado-rockies",374,99,44,639,2355
6100366,"Regular Season","2024-03-26",2024-03-30,"4:05 PM","Sat","baltimore-orioles","los-angeles-angels",514,119,45,370,2440
6100368,"Regular Season","2024-03-26",2024-03-28,"3:05 PM","Thu","baltimore-orioles","los-angeles-angels",404,309,91,5755,1057
6100370,"Regular Season","2024-03-26",2024-03-31,"1:35 PM","Sun","baltimore-orioles","los-angeles-angels",883,93,26,4024,4516
6100372,"Regular Season","2024-03-26",2024-04-01,"6:35 PM","Mon","baltimore-orioles","kansas-city-royals",770,77,17,4024,4153
6100374,"Regular Season","2024-03-26",2024-04-02,"6:35 PM","Tue","baltimore-orioles","kansas-city-royals",508,80,13,4024,2738
6100376,"Regular Season","2024-03-26",2024-04-03,"1:05 PM","Wed","baltimore-orioles","kansas-city-royals",607,75,11,4024,3165
6100686,"Regular Season","2024-03-26",2024-04-02,"6:40 PM","Tue","chicago-cubs","colorado-rockies",1372,53,6,1176,3896
6100689,"Regular Season","2024-03-26",2024-04-01,"1:20 PM","Mon","chicago-cubs","colorado-rockies",820,193,59,1596,2463
6100851,"Regular Season","2024-03-26",2024-03-30,"1:10 PM","Sat","chicago-white-sox","detroit-tigers",606,82,21,554,3175
6100853,"Regular Season","2024-03-26",2024-03-28,"3:10 PM","Thu","chicago-white-sox","detroit-tigers",538,135,38,804,2659
