"event_id","season_type","retrieve_date","date","time","day_of_week","home_team","away_team","new_listings","avg_price","lowest_price","highest_price","ticket_count","team_full_name","team_code","team_abbreviation","team_name","team_id","wins","loss","win_pct","streak","runs_for_avg","runs_against_avg","run_diff","schedule_strength","simple_rating_system","pythagorean_wl","pythagorean_luck","vs_east","vs_central","vs_west","interleague","home_record","road_record","ex_innings","one_run_games","vs_rhp","vs_lhp","vs_winning_teams","vs_losing_teams","last_10","last_20","last_30","estimate_total_population","estimate_white_population","estimate_black_population","estimate_hispanic_population","estimate_median_12_month_income","moe_total_population","moe_white_population","moe_black_population","moe_hispanic_population","moe_median_12_month_income","temp","feels_like","pressure","humidity","dew_points","wind_speed","clouds","precip_chance","uv_index","aqi","carbon_monoxide","nitrogen_monoxide","nitrogen_dioxide","ozone","sulphur_dioxide","fine_particles","coarse_particles","ammonia"
6100079,"Regular Season",2024-05-12,2024-05-13,"6:40 PM","Mon","arizona-diamondbacks","cincinnati-reds",1343,79,26,564,7206,"Arizona Diamondbacks","ari","AZ","D-backs",109,18,22,0.45,"L 2",4.9,4.7,0.3,-0.2,0,"21-19",-3,"0-3","7-5","9-8","2-6","9-10","9-12","2-4","6-5","13-11","5-11","5-15","13-7","5-5","9-11","14-16",9071,5974,611,368,59913,1104,738,292,199,8347,88.68,84.85,1009,15,35.33,18.5,0,0,8.5,2.75,258.961666666667,1.24625,11.1508333333333,33.4529,2.47416666666667,7.69916666666667,17.8595833333333,1.41166666666667
6100083,"Regular Season",2024-05-12,2024-05-15,"12:40 PM","Wed","arizona-diamondbacks","cincinnati-reds",1443,77,20,564,7945,"Arizona Diamondbacks","ari","AZ","D-backs",109,18,22,0.45,"L 2",4.9,4.7,0.3,-0.2,0,"21-19",-3,"0-3","7-5","9-8","2-6","9-10","9-12","2-4","6-5","13-11","5-11","5-15","13-7","5-5","9-11","14-16",9071,5974,611,368,59913,1104,738,292,199,8347,84.29,81.34,1008,15,31.19,13.04,100,0,8.44,2.91666666666667,230.24375,0.635833333333333,7.58208333333333,33.4529,1.42625,7.11166666666667,18.4875,1.00541666666667
6100084,"Regular Season",2024-05-12,2024-05-14,"6:40 PM","Tue","arizona-diamondbacks","cincinnati-reds",1531,77,25,564,7710,"Arizona Diamondbacks","ari","AZ","D-backs",109,18,22,0.45,"L 2",4.9,4.7,0.3,-0.2,0,"21-19",-3,"0-3","7-5","9-8","2-6","9-10","9-12","2-4","6-5","13-11","5-11","5-15","13-7","5-5","9-11","14-16",9071,5974,611,368,59913,1104,738,292,199,8347,88.88,84.96,1008,12,30.34,17.6,1,0,8.48,2.91666666666667,248.878333333333,0.910416666666667,10.53,33.4529,2.1925,8.42291666666667,20.1066666666667,1.23791666666667
6100241,"Regular Season",2024-05-12,2024-05-14,"7:20 PM","Tue","atlanta-braves","chicago-cubs",795,87,13,641,2363,"Atlanta Braves","atl","ATL","Braves",144,24,12,0.667,"W 4",5,3.7,1.3,-0.1,1.2,"23-13",1,"10-4","0-0","3-3","11-5","13-4","11-8","4-2","6-6","16-8","8-4","9-8","15-4","5-5","13-7","20-10",33230,17179,9470,735,88296,2054,1543,993,217,4823,66.4,67.3,1009,97,65.68,9.69,100,1,2.07,1.16666666666667,259.240416666667,0.377083333333333,9.685,33.7469,1.87083333333333,3.90125,4.46416666666667,0.270833333333333
6100242,"Regular Season",2024-05-12,2024-05-13,"7:20 PM","Mon","atlanta-braves","chicago-cubs",606,84,20,565,1764,"Atlanta Braves","atl","ATL","Braves",144,24,12,0.667,"W 4",5,3.7,1.3,-0.1,1.2,"23-13",1,"10-4","0-0","3-3","11-5","13-4","11-8","4-2","6-6","16-8","8-4","9-8","15-4","5-5","13-7","20-10",33230,17179,9470,735,88296,2054,1543,993,217,4823,63.63,63.88,1017,89,60.24,9.51,100,1,1.66,1.75,296.235833333333,0.525,19.5766666666667,33.7469,2.20583333333333,8.06958333333333,10.4641666666667,1.21375
6100244,"Regular Season",2024-05-12,2024-05-15,"7:20 PM","Wed","atlanta-braves","chicago-cubs",814,90,21,1155,2862,"Atlanta Braves","atl","ATL","Braves",144,24,12,0.667,"W 4",5,3.7,1.3,-0.1,1.2,"23-13",1,"10-4","0-0","3-3","11-5","13-4","11-8","4-2","6-6","16-8","8-4","9-8","15-4","5-5","13-7","20-10",33230,17179,9470,735,88296,2054,1543,993,217,4823,77.32,77.2,1008,52,58.48,12.06,32,1,3.73,1.20833333333333,273.705416666667,0.27875,4.44666666666667,33.7469,1.10041666666667,1.71625,2.15208333333333,0.368333333333333
6100407,"Regular Season",2024-05-12,2024-05-12,"1:35 PM","Sun","baltimore-orioles","arizona-diamondbacks",148,58,20,453,445,"Baltimore Orioles","bal","BAL","Orioles",110,26,12,0.684,"W 3",5.2,3.7,1.5,0.3,1.8,"25-13",1,"6-1","7-2","5-4","8-5","14-7","12-5","3-2","5-4","15-8","11-4","15-6","11-6","8-2","14-6","21-9",17773,5834,9509,18,40932,1421,727,1010,22,8701,60.24,59.59,1010,77,53.01,13.67,75,1,4.31,2,216.72,0.2,1.72,39.2852,0.355714285714286,0.891428571428571,1.08571428571429,0.212857142857143
6100410,"Regular Season",2024-05-12,2024-05-13,"6:35 PM","Mon","baltimore-orioles","toronto-blue-jays",301,67,13,3955,1026,"Baltimore Orioles","bal","BAL","Orioles",110,26,12,0.684,"W 3",5.2,3.7,1.5,0.3,1.8,"25-13",1,"6-1","7-2","5-4","8-5","14-7","12-5","3-2","5-4","15-8","11-4","15-6","11-6","8-2","14-6","21-9",17773,5834,9509,18,40932,1421,727,1010,22,8701,71.2,70,1017,42,47.01,12.35,2,0,7.44,1.83333333333333,269.672916666667,1.205,10.9020833333333,39.2852,2.15291666666667,5.99708333333333,7.50333333333333,0.419166666666667
6100412,"Regular Season",2024-05-12,2024-05-14,"6:35 PM","Tue","baltimore-orioles","toronto-blue-jays",271,78,11,3955,1025,"Baltimore Orioles","bal","BAL","Orioles",110,26,12,0.684,"W 3",5.2,3.7,1.5,0.3,1.8,"25-13",1,"6-1","7-2","5-4","8-5","14-7","12-5","3-2","5-4","15-8","11-4","15-6","11-6","8-2","14-6","21-9",17773,5834,9509,18,40932,1421,727,1010,22,8701,62.37,62.76,1013,95,60.46,12.08,100,1,5.8,1.66666666666667,245.3325,0.388333333333333,9.02583333333333,39.2852,2.17375,5.69291666666667,7.07333333333333,0.375833333333333
6100413,"Regular Season",2024-05-12,2024-05-15,"12:35 PM","Wed","baltimore-orioles","toronto-blue-jays",358,74,13,3955,1506,"Baltimore Orioles","bal","BAL","Orioles",110,26,12,0.684,"W 3",5.2,3.7,1.5,0.3,1.8,"25-13",1,"6-1","7-2","5-4","8-5","14-7","12-5","3-2","5-4","15-8","11-4","15-6","11-6","8-2","14-6","21-9",17773,5834,9509,18,40932,1421,727,1010,22,8701,60.39,60.64,1008,96,58.86,8.88,100,1,1.4,1.5,243.455,0.288333333333333,9.88416666666667,39.2852,2.28625,3.08291666666667,3.85625,0.26625
6100558,"Regular Season",2024-05-12,2024-05-12,"1:35 PM","Sun","boston-red-sox","washington-nationals",464,69,17,676,1075,"Boston Red Sox","bos","BOS","Red Sox",111,20,19,0.513,"W 1",4.3,3.5,0.8,0.2,1,"23-16",-3,"0-3","3-7","9-4","8-5","8-10","12-9","1-3","4-4","16-12","4-7","8-16","12-3","4-6","10-10","14-16",25856,16548,1620,647,58466,1230,1051,409,260,9404,59.34,57.27,1012,49,40.21,7.49,36,0.91,4.13,1.71428571428571,313.282857142857,2.32571428571429,26.44,42.3466,4.36714285714286,4.14857142857143,5.43714285714286,1.15142857142857
6100565,"Regular Season",2024-05-12,2024-05-13,"7:10 PM","Mon","boston-red-sox","tampa-bay-rays",842,62,15,873,2379,"Boston Red Sox","bos","BOS","Red Sox",111,20,19,0.513,"W 1",4.3,3.5,0.8,0.2,1,"23-16",-3,"0-3","3-7","9-4","8-5","8-10","12-9","1-3","4-4","16-12","4-7","8-16","12-3","4-6","10-10","14-16",25856,16548,1620,647,58466,1230,1051,409,260,9404,64.92,63.05,1016,41,40.78,11.43,36,1,5.72,1.75,289.004166666667,0.92125,15.57,42.3466,1.65333333333333,5.585,7.16833333333333,0.535416666666667
6100566,"Regular Season",2024-05-12,2024-05-15,"7:10 PM","Wed","boston-red-sox","tampa-bay-rays",993,63,17,565,2930,"Boston Red Sox","bos","BOS","Red Sox",111,20,19,0.513,"W 1",4.3,3.5,0.8,0.2,1,"23-16",-3,"0-3","3-7","9-4","8-5","8-10","12-9","1-3","4-4","16-12","4-7","8-16","12-3","4-6","10-10","14-16",25856,16548,1620,647,58466,1230,1051,409,260,9404,57.74,57.69,1012,95,56.08,9.75,100,1,0.77,2,225.444166666667,0.238333333333333,7.325,42.3466,1.37833333333333,4.35208333333333,8.1025,0.195833333333333
6100567,"Regular Season",2024-05-12,2024-05-16,"7:10 PM","Thu","boston-red-sox","tampa-bay-rays",820,236,33,115579,2327,"Boston Red Sox","bos","BOS","Red Sox",111,20,19,0.513,"W 1",4.3,3.5,0.8,0.2,1,"23-16",-3,"0-3","3-7","9-4","8-5","8-10","12-9","1-3","4-4","16-12","4-7","8-16","12-3","4-6","10-10","14-16",25856,16548,1620,647,58466,1230,1051,409,260,9404,62.8,62.11,1013,71,53.08,8.9,85,0.2,0.9,2,249.161764705882,0.327058823529412,12.5258823529412,42.3466,2.64,4.16,6.10117647058824,0.292941176470588
6100587,"Regular Season",2024-05-12,2024-05-14,"7:10 PM","Tue","boston-red-sox","tampa-bay-rays",889,67,20,565,2599,"Boston Red Sox","bos","BOS","Red Sox",111,20,19,0.513,"W 1",4.3,3.5,0.8,0.2,1,"23-16",-3,"0-3","3-7","9-4","8-5","8-10","12-9","1-3","4-4","16-12","4-7","8-16","12-3","4-6","10-10","14-16",25856,16548,1620,647,58466,1230,1051,409,260,9404,72.68,71.76,1012,45,50.11,15.39,57,0.07,5.65,2.29166666666667,234.067083333333,0.314583333333333,7.2125,42.3466,1.43208333333333,3.77333333333333,5.50208333333333,0.31375
6100719,"Regular Season",2024-05-12,2024-05-16,"6:40 PM","Thu","chicago-cubs","pittsburgh-pirates",1310,64,11,783,3633,"Chicago Cubs","chn","CHC","Cubs",112,23,17,0.575,"L 1",4.8,4.3,0.4,-0.1,0.3,"22-18",1,"4-4","3-2","9-6","7-5","13-6","10-11","1-3","7-7","21-13","2-4","10-11","13-6","5-5","11-9","17-13",53085,17968,12502,755,65489,2212,1595,1321,281,7821,64.24,62.94,1011,55,46.31,3.56,98,1,0.14,1.17647058823529,340.265294117647,6.52588235294118,28.3558823529412,41.9472,3.94470588235294,7.53176470588235,10.2741176470588,0.929411764705882
6100884,"Regular Season",2024-05-12,2024-05-14,"6:40 PM","Tue","chicago-white-sox","washington-nationals",487,51,9,419,2311,"Chicago White Sox","cha","CWS","White Sox",145,12,28,0.3,"W 4",3,5.1,-2.1,0.3,-1.7,"11-29",1,"4-2","5-18","0-0","3-8","8-12","4-16","2-2","5-8","10-24","2-4","10-24","2-4","6-4","9-11","11-19",53085,17968,12502,755,65489,2212,1595,1321,281,7821,49.95,44.94,1011,70,40.59,13.56,100,0.99,3.45,1.16666666666667,238.795,0.40625,10.7145833333333,41.8309,1.6875,3.15166666666667,3.66583333333333,0.278333333333333
6100885,"Regular Season",2024-05-12,2024-05-12,"1:10 PM","Sun","chicago-white-sox","cleveland-guardians",146,76,23,458,416,"Chicago White Sox","cha","CWS","White Sox",145,12,28,0.3,"W 4",3,5.1,-2.1,0.3,-1.7,"11-29",1,"4-2","5-18","0-0","3-8","8-12","4-16","2-2","5-8","10-24","2-4","10-24","2-4","6-4","9-11","11-19",53085,17968,12502,755,65489,2212,1595,1321,281,7821,76.06,74.88,1011,32,44.1,15.66,75,0.62,7.08,2.71428571428571,211.477142857143,0.895714285714286,4.66,41.8309,2.56714285714286,3.27571428571429,3.84428571428571,0.905714285714286
6100886,"Regular Season",2024-05-12,2024-05-13,"6:40 PM","Mon","chicago-white-sox","washington-nationals",513,49,8,419,2480,"Chicago White Sox","cha","CWS","White Sox",145,12,28,0.3,"W 4",3,5.1,-2.1,0.3,-1.7,"11-29",1,"4-2","5-18","0-0","3-8","8-12","4-16","2-2","5-8","10-24","2-4","10-24","2-4","6-4","9-11","11-19",53085,17968,12502,755,65489,2212,1595,1321,281,7821,75.92,75.56,1007,50,56.19,12.24,99,1,6.33,1.5,263.274166666667,1.54875,16.4166666666667,41.8309,4.46416666666667,6.22458333333333,7.59541666666667,1.55458333333333
6100891,"Regular Season",2024-05-12,2024-05-15,"1:10 PM","Wed","chicago-white-sox","washington-nationals",505,52,8,419,2424,"Chicago White Sox","cha","CWS","White Sox",145,12,28,0.3,"W 4",3,5.1,-2.1,0.3,-1.7,"11-29",1,"4-2","5-18","0-0","3-8","8-12","4-16","2-2","5-8","10-24","2-4","10-24","2-4","6-4","9-11","11-19",53085,17968,12502,755,65489,2212,1595,1321,281,7821,60.3,58.14,1015,45,37.6,9.31,0,0,8.03,1.33333333333333,223.915833333333,1.04208333333333,6.81208333333333,41.8309,1.99166666666667,2.51,3.1275,0.33875
