"event_id","retrieve_date","date","time","day_of_week","home_team","away_team","popularity","team_full_name","team_code","team_abbreviation","team_name","team_id","wins","loss","win_pct","streak","runs_for_avg","runs_against_avg","run_diff","schedule_strength","simple_rating_system","pythagorean_wl","pythagorean_luck","vs_east","vs_central","vs_west","interleague","home_record","road_record","ex_innings","one_run_games","vs_rhp","vs_lhp","vs_winning_teams","vs_losing_teams","last_10","last_20","last_30","estimate_total_population","estimate_white_population","estimate_black_population","estimate_hispanic_population","estimate_median_12_month_income","moe_total_population","moe_white_population","moe_black_population","moe_hispanic_population","moe_median_12_month_income","temp","feels_like","pressure","humidity","dew_points","wind_speed","clouds","precip_chance","uv_index","aqi","carbon_monoxide","nitrogen_monoxide","nitrogen_dioxide","ozone","sulphur_dioxide","fine_particles","coarse_particles","ammonia"
6100296,2024-07-15,2024-07-19,"7:20 PM","Fri","atlanta-braves","st-louis-cardinals",0.894,"Atlanta Braves","atl","ATL","Braves",144,53,42,0.558,"W 1",4.3,3.6,0.7,0,0.7,"55-40",-2,"14-12","8-7","9-11","22-12","29-17","24-25","6-3","10-13","34-30","19-12","33-27","20-15","6-4","10-10","18-12",33230,17179,9470,735,88296,2054,1543,993,217,4823,84.27,86.92,1018,56,67.42,5.61,88,1,0.5,1,251.713529411765,0.308823529411765,10.5376470588235,33.7469,2.19235294117647,-585.205882352941,3.72705882352941,0.353529411764706
6100778,2024-07-15,2024-07-19,"1:20 PM","Fri","chicago-cubs","arizona-diamondbacks",0.893,"Chicago Cubs","chn","CHC","Cubs",112,47,51,0.48,"W 1",4.2,4.3,-0.1,0,0,"48-50",-1,"8-12","12-21","12-10","15-8","25-21","22-30","5-3","14-20","41-38","6-13","32-37","15-14","7-3","10-10","14-16",53085,17968,12502,755,65489,2212,1595,1321,281,7821,74.16,73.76,1021,53,55.74,9.95,11,0,0.45,1.41176470588235,208.223529411765,0.452941176470588,7.44,41.9472,2.13058823529412,-586.296470588235,2.58882352941176,0.321176470588235
6101383,2024-07-15,2024-07-19,"6:40 PM","Fri","colorado-rockies","san-francisco-giants",0.835,"Colorado Rockies","col","COL","Rockies",115,34,63,0.351,"W 1",4.2,5.9,-1.7,0.1,-1.7,"33-64",1,"4-11","7-17","10-17","13-18","20-27","14-36","5-4","15-13","23-45","11-18","25-38","9-25","4-6","7-13","10-20",33805,20800,5116,3969,79436,1381,1386,783,919,11916,88.05,84.72,1012,22,44.91,7.76,92,0.44,10,2.29411764705882,386.015294117647,1.76235294117647,36.9188235294118,39.757,4.19411764705882,14.6052941176471,16.2111764705882,2.14470588235294
6101838,2024-07-15,2024-07-19,"7:10 PM","Fri","kansas-city-royals","chicago-white-sox",0.829,"Kansas City Royals","kca","KC","Royals",118,52,45,0.536,"L 2",4.6,3.9,0.6,-0.1,0.5,"55-42",-3,"12-14","16-10","14-11","10-10","31-18","21-27","2-2","13-13","43-37","9-8","26-29","26-16","5-5","10-10","13-17",8768,3850,4272,33,40829,1089,700,948,32,6164,77.43,77.5,1019,56,60.04,8.1,1,0,0.21,1.11764705882353,256.426470588235,0.532352941176471,4.48352941176471,39.1022,0.945294117647059,-586.001764705882,2.55705882352941,1.13470588235294
6102153,2024-07-15,2024-07-19,"7:10 PM","Fri","los-angeles-dodgers","boston-red-sox",0.894,"Los Angeles Dodgers","lan","LAD","Dodgers",119,56,41,0.577,"L 2",4.9,4,0.9,-0.1,0.8,"57-40",-1,"14-7","10-10","18-15","14-9","28-19","28-22","6-5","11-11","31-31","25-10","26-22","30-19","3-7","9-11","15-15",39709,10063,5465,6587,53278,2133,1055,702,834,4801,88.68,86.65,1013,31,54.57,10.07,2,0,10,3.94117647058824,519.527058823529,1.04,64.6694117647059,34.0724,14.88,-545.048235294118,57.4047058823529,1.87058823529412
6102914,2024-07-15,2024-07-19,"7:05 PM","Fri","new-york-yankees","tampa-bay-rays",0.877,"New York Yankees","nya","NYY","Yankees",147,58,40,0.592,"L 1",5,3.9,1.1,0,1.1,"60-38",-2,"16-19","17-2","12-6","13-13","25-19","33-21","1-6","11-13","47-27","11-13","38-28","20-12","4-6","7-13","11-19",50118,7686,21816,15621,33945,2635,1624,2026,1793,4114,87.96,85.08,1018,26,49.75,9.44,100,0,1.18,1.41176470588235,363.828235294118,0.902352941176471,16.44,40.8198,2.20647058823529,-580.561764705882,8.98235294117647,0.272352941176471
6103075,2024-07-15,2024-07-19,"6:40 PM","Fri","oakland-athletics","los-angeles-angels",0.802,"Oakland Athletics","oak","OAK","Athletics",133,37,61,0.378,"W 1",4,4.8,-0.8,0.1,-0.7,"40-58",-3,"8-14","6-17","9-17","14-13","22-25","15-36","3-6","12-17","27-50","10-11","22-48","15-13","5-5","8-12","11-19",35379,3898,11184,15850,47003,2264,788,1133,1747,5334,74.8,74.19,1015,47,50.45,9.69,0,0,11,1.11764705882353,200.664117647059,1.58941176470588,14.4052941176471,37.7492,2.30647058823529,-585.995294117647,4.19117647058824,0.479411764705882
6103384,2024-07-15,2024-07-19,"6:40 PM","Fri","pittsburgh-pirates","philadelphia-phillies",0.876,"Pittsburgh Pirates","pit","PIT","Pirates",134,48,48,0.5,"W 4",4.2,4.3,-0.1,-0.1,-0.2,"47-49",1,"13-11","15-14","8-7","12-16","22-24","26-24","6-6","16-15","33-32","15-16","21-27","27-21","7-3","11-9","16-14",28461,18069,7698,309,53882,1268,986,988,249,3646,81.46,80.53,1019,35,51.33,4.85,0,0,0.8,1.35294117647059,273.507647058824,0.408823529411765,4.78,40.4615,1.18705882352941,3.11235294117647,3.38411764705882,0.279411764705882
6103770,2024-07-15,2024-07-19,"7:10 PM","Fri","seattle-mariners","houston-astros",0.87,"Seattle Mariners","sea","SEA","Mariners",136,52,46,0.531,"L 3",3.9,3.7,0.2,0,0.2,"51-47",1,"9-14","10-13","18-8","15-11","30-18","22-28","6-5","19-14","38-35","14-11","26-28","26-18","5-5","8-12","14-16",14469,7231,1448,357,60955,927,623,327,191,8599,84.78,82.54,1019,29,48.76,9.98,0,0,8,1.29411764705882,233.454705882353,2.84705882352941,15.7511764705882,47.6017,2.45529411764706,-584.815882352941,5.34176470588235,0.542352941176471
6104250,2024-07-15,2024-07-19,"7:05 PM","Fri","texas-rangers","baltimore-orioles",0.869,"Texas Rangers","tex","TEX","Rangers",140,46,50,0.479,"W 2",4.3,4.2,0.1,0,0.1,"49-47",-3,"6-4","11-8","13-16","16-22","24-21","22-29","4-1","12-11","34-35","12-15","26-32","20-18","7-3","10-10","15-15",21701,10326,6736,1566,45224,1523,979,1294,435,3852,91.22,91.11,1016,36,60.62,13.11,2,0,0.1,1.11764705882353,280.773529411765,0.372941176470588,13.7270588235294,32.7502,1.77470588235294,2.04352941176471,2.53941176470588,0.601764705882353
